# Data for the a4a model 
# Full age range
 0 6 
# Full year range
 1982 2012 
# Number of surveys
 3 
# Survey min ages
 0 0 0 
# Survey max ages
 4 4 4 
# Survey time as a fraction into the year (one for each survey)
 0.625 0.625 0.625 
# fbar range
 2 5 
# Last age group considered plus group 0=no 1=yes
 1 
# Number of observations
 547 
# Observation data frame 
# fleet	year	age	observation	weights
1993	0	-0.870686158093021	0	0	0.000181052463407689	0.0441539598897544
1993	1	-0.870686158093021	0	0	0.0649984038989662	0.252361494251634
1993	2	-0.870686158093021	0	0	0.821873053687593	0.893562856849175
1993	3	-0.870686158093021	0	0	1.94937229967825	1.95256448322549
1993	4	-0.870686158093021	0	0	3.33494926511959	3.33512150793981
1993	5	-0.870686158093021	0	0	4.8919782983419	4.89199360009375
1993	6	-0.870686158093021	0	0	7.80177504908833	7.80177715075228
1994	0	-0.870686158093021	0	0	0.0005671308548324	0.0395281523350231
1994	1	-0.870686158093021	0	0	0.0733788493120365	0.246362133945411
1994	2	-0.870686158093021	0	0	0.78485561940028	0.8920799511766
1994	3	-0.870686158093021	0	0	1.95410615199564	1.96809087870357
1994	4	-0.870686158093021	0	0	3.34349459635636	3.34533996315502
1994	5	-0.870686158093021	0	0	4.89001071528082	4.89034299079273
1994	6	-0.870686158093021	0	0	7.59843770616093	7.59852106704711
1995	0	-0.870686158093021	0	0	0.000354699954152249	0.047246561879556
1995	1	-0.870686158093021	0	0	0.0650557882011312	0.235708425923267
1995	2	-0.870686158093021	0	0	0.757543691111778	0.838423150463267
1995	3	-0.870686158093021	0	0	1.95165673600734	1.95808602685945
1995	4	-0.870686158093021	0	0	3.35736357808612	3.35790109452955
1995	5	-0.870686158093021	0	0	4.90095580019477	4.90102273193294
1995	6	-0.870686158093021	0	0	7.45529098095714	7.45530286507227
1996	0	-0.870686158093021	0	0	0.000337366662121961	0.039082032657087
1996	1	-0.870686158093021	0	0	0.128326310470332	0.257346690213534
1996	2	-0.870686158093021	0	0	0.821809461929942	0.830885359120218
1996	3	-0.870686158093021	0	0	1.88658233853362	1.88673130330332
1996	4	-0.870686158093021	0	0	3.33867387362448	3.33867771885652
1996	5	-0.870686158093021	0	0	4.91000845859036	4.91000864491245
1996	6	-0.870686158093021	0	0	7.41993450578866	7.41993451988103
1997	0	-0.870686158093021	0	0	0.000450608640835822	0.0416524695770898
1997	1	-0.870686158093021	0	0	0.0973234576190517	0.230412727618606
